City,Name,City (listed),Category,Has website/social,Has address,Dupe?,Flags,Verify (Google Maps),Keep / Edit / Remove,Founder notes
Atlanta,A Pot To Plant In,Smyrna,retail-gifts,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=A%20Pot%20To%20Plant%20In%20Smyrna,,
Atlanta,Anwuli Eyewear,Atlanta,fashion-apparel,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Anwuli%20Eyewear%20Atlanta,,
Atlanta,Bankhead Seafood,Atlanta,food-dining,NO,yes,,no-website,https://www.google.com/maps/search/?api=1&query=Bankhead%20Seafood%20Atlanta,,
Atlanta,Black Art In America Gallery & Gardens,East Point,arts-culture,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Black%20Art%20In%20America%20Gallery%20%26%20Gardens%20East%20Point,,
Atlanta,Black Visionary Studio,Atlanta,photography-videography,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Black%20Visionary%20Studio%20Atlanta,,
Atlanta,BLK FRVR,Atlanta,fashion-apparel,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=BLK%20FRVR%20Atlanta,,
Atlanta,Bomb Biscuit Co.,Atlanta,food-dining,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Bomb%20Biscuit%20Co.%20Atlanta,,
Atlanta,Brave + Kind Bookshop,Decatur,books-publishing,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Brave%20%2B%20Kind%20Bookshop%20Decatur,,
Atlanta,Chapter Ave Productions,Atlanta,creative-media,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Chapter%20Ave%20Productions%20Atlanta,,
Atlanta,Conley Realty Group,Decatur,real-estate,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Conley%20Realty%20Group%20Decatur,,
Atlanta,Cutz By Black,Atlanta,beauty-grooming,NO,yes,,no-website,https://www.google.com/maps/search/?api=1&query=Cutz%20By%20Black%20Atlanta,,
Atlanta,Dawn's of Essence Salon,Lawrenceville,beauty-grooming,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Dawn's%20of%20Essence%20Salon%20Lawrenceville,,
Atlanta,Design OCD,Atlanta,home-living,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Design%20OCD%20Atlanta,,
Atlanta,Fender Bender's Autobody & Collision Repair,Jonesboro,automotive,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Fender%20Bender's%20Autobody%20%26%20Collision%20Repair%20Jonesboro,,
Atlanta,Gilly Brew Bar,Stone Mountain,food-dining,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Gilly%20Brew%20Bar%20Stone%20Mountain,,
Atlanta,Gymnetics Fitness East,Atlanta,wellness-health,NO,yes,,no-website,https://www.google.com/maps/search/?api=1&query=Gymnetics%20Fitness%20East%20Atlanta,,
Atlanta,Honor Roll Clothing,Atlanta,fashion-apparel,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Honor%20Roll%20Clothing%20Atlanta,,
Atlanta,InterSearchMedia,Snellville,social-media-marketing,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=InterSearchMedia%20Snellville,,
Atlanta,Jimerson Tax and Accounting,Atlanta,legal-financial,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Jimerson%20Tax%20and%20Accounting%20Atlanta,,
Atlanta,Juci Jerk,Stone Mountain,food-dining,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Juci%20Jerk%20Stone%20Mountain,,
Atlanta,Just 4 Girls Salon,Marietta,beauty-grooming,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Just%204%20Girls%20Salon%20Marietta,,
Atlanta,Kupcakerie,East Point,food-dining,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Kupcakerie%20East%20Point,,
Atlanta,Local Green Atlanta,Atlanta,food-dining,NO,yes,,no-website,https://www.google.com/maps/search/?api=1&query=Local%20Green%20Atlanta%20Atlanta,,
Atlanta,Lov'n It Live,East Point,food-dining,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Lov'n%20It%20Live%20East%20Point,,
Atlanta,Merritt & Merritt Law Firm,Decatur,legal-financial,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=Merritt%20%26%20Merritt%20Law%20Firm%20Decatur,,
Atlanta,Myavana,Atlanta,technology,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Myavana%20Atlanta,,
Atlanta,Paradise Park ATL,Atlanta,wellness-health,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Paradise%20Park%20ATL%20Atlanta,,
Atlanta,Soul Vegetarian,Atlanta,food-dining,NO,yes,,no-website,https://www.google.com/maps/search/?api=1&query=Soul%20Vegetarian%20Atlanta,,
Atlanta,SR Law Group,Douglasville,legal-financial,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=SR%20Law%20Group%20Douglasville,,
Atlanta,Textur'd Silk Bar,Atlanta,beauty-grooming,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Textur'd%20Silk%20Bar%20Atlanta,,
Atlanta,The Black Firm LLC,Lawrenceville,legal-financial,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Black%20Firm%20LLC%20Lawrenceville,,
Atlanta,The Blaxican,Peachtree Corners,food-dining,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Blaxican%20Peachtree%20Corners,,
Atlanta,The Breakfast Boys,College Park,food-dining,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Breakfast%20Boys%20College%20Park,,
Atlanta,The Construction Kings,Atlanta,construction-trades,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=The%20Construction%20Kings%20Atlanta,,
Atlanta,The Corner Grille,Atlanta,food-dining,NO,yes,,no-website,https://www.google.com/maps/search/?api=1&query=The%20Corner%20Grille%20Atlanta,,
Atlanta,The Real Milk & Honey,College Park,food-dining,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Real%20Milk%20%26%20Honey%20College%20Park,,
Atlanta,The Wellness Spot ATL,College Park,wellness-health,yes,yes,,metro-area,https://www.google.com/maps/search/?api=1&query=The%20Wellness%20Spot%20ATL%20College%20Park,,
Atlanta,True Peace Counseling & Wellness,Atlanta,healthcare,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=True%20Peace%20Counseling%20%26%20Wellness%20Atlanta,,
Atlanta,Vertical Activewear,Atlanta,fashion-apparel,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Vertical%20Activewear%20Atlanta,,
Atlanta,Zyrobotics,Atlanta,technology,yes,NO,,no-address,https://www.google.com/maps/search/?api=1&query=Zyrobotics%20Atlanta,,
Atlanta,"100 Black Men of Atlanta, Inc.",Atlanta,nonprofits-community-orgs,yes,yes,,,https://www.google.com/maps/search/?api=1&query=100%20Black%20Men%20of%20Atlanta%2C%20Inc.%20Atlanta,,
Atlanta,44th & 3rd Bookseller,Atlanta,books-publishing,yes,yes,,,https://www.google.com/maps/search/?api=1&query=44th%20%26%203rd%20Bookseller%20Atlanta,,
Atlanta,African Diaspora Art Museum of Atlanta,Atlanta,arts-culture,yes,yes,,,https://www.google.com/maps/search/?api=1&query=African%20Diaspora%20Art%20Museum%20of%20Atlanta%20Atlanta,,
Atlanta,Aligned 4 Life Wellness,Atlanta,healthcare,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Aligned%204%20Life%20Wellness%20Atlanta,,
Atlanta,APEX Museum,Atlanta,arts-culture,yes,yes,,,https://www.google.com/maps/search/?api=1&query=APEX%20Museum%20Atlanta,,
Atlanta,Apt 4B,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Apt%204B%20Atlanta,,
Atlanta,Atlanta Breakfast Club,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Atlanta%20Breakfast%20Club%20Atlanta,,
Atlanta,Atlanta Chiropractic and Rehab,Atlanta,healthcare,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Atlanta%20Chiropractic%20and%20Rehab%20Atlanta,,
Atlanta,Atlanta Influences Everything,Atlanta,fashion-apparel,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Atlanta%20Influences%20Everything%20Atlanta,,
Atlanta,Big Dave's Cheesesteaks,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Big%20Dave's%20Cheesesteaks%20Atlanta,,
Atlanta,Black Coffee ATL,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Black%20Coffee%20ATL%20Atlanta,,
Atlanta,BRANDPRENUER,Atlanta,professional-services,yes,yes,,,https://www.google.com/maps/search/?api=1&query=BRANDPRENUER%20Atlanta,,
Atlanta,Busy Bee Cafe,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Busy%20Bee%20Cafe%20Atlanta,,
Atlanta,Cafe Bourbon Street,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Cafe%20Bourbon%20Street%20Atlanta,,
Atlanta,Celestial Spa,Atlanta,wellness-health,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Celestial%20Spa%20Atlanta,,
Atlanta,Change-Of-Pace Chiropractic+,Atlanta,healthcare,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Change-Of-Pace%20Chiropractic%2B%20Atlanta,,
Atlanta,Che Butter Jonez,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Che%20Butter%20Jonez%20Atlanta,,
Atlanta,Chef Rob's Caribbean Cafe,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Chef%20Rob's%20Caribbean%20Cafe%20Atlanta,,
Atlanta,ChiroJunky,Atlanta,healthcare,yes,yes,,,https://www.google.com/maps/search/?api=1&query=ChiroJunky%20Atlanta,,
Atlanta,Chroma Creators,Atlanta,creative-media,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Chroma%20Creators%20Atlanta,,
Atlanta,Coffee Was Black,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Coffee%20Was%20Black%20Atlanta,,
Atlanta,Crates ATL,Atlanta,retail-gifts,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Crates%20ATL%20Atlanta,,
Atlanta,Creative Juice,Atlanta,creative-media,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Creative%20Juice%20Atlanta,,
Atlanta,CreativeSoul Photography,Atlanta,photography-videography,yes,yes,,,https://www.google.com/maps/search/?api=1&query=CreativeSoul%20Photography%20Atlanta,,
Atlanta,D'juan's Bistro,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=D'juan's%20Bistro%20Atlanta,,
Atlanta,D'Lor Salon & Spa,Atlanta,beauty-grooming,yes,yes,,,https://www.google.com/maps/search/?api=1&query=D'Lor%20Salon%20%26%20Spa%20Atlanta,,
Atlanta,Desta Ethiopian Kitchen,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Desta%20Ethiopian%20Kitchen%20Atlanta,,
Atlanta,E.F.F.E.C.T. Fitness,Atlanta,wellness-health,yes,yes,,,https://www.google.com/maps/search/?api=1&query=E.F.F.E.C.T.%20Fitness%20Atlanta,,
Atlanta,Events by Mesita,Atlanta,events-entertainment,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Events%20by%20Mesita%20Atlanta,,
Atlanta,Felton & Peel Wealth Management,Atlanta,legal-financial,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Felton%20%26%20Peel%20Wealth%20Management%20Atlanta,,
Atlanta,For Keeps Books,Atlanta,books-publishing,yes,yes,,,https://www.google.com/maps/search/?api=1&query=For%20Keeps%20Books%20Atlanta,,
Atlanta,FourStage Branding,Atlanta,professional-services,yes,yes,,,https://www.google.com/maps/search/?api=1&query=FourStage%20Branding%20Atlanta,,
Atlanta,Future Gallery,Atlanta,arts-culture,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Future%20Gallery%20Atlanta,,
Atlanta,Gocha's Breakfast Bar,Atlanta,food-dining,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Gocha's%20Breakfast%20Bar%20Atlanta,,
Atlanta,God is Dope,Atlanta,fashion-apparel,yes,yes,,,https://www.google.com/maps/search/?api=1&query=God%20is%20Dope%20Atlanta,,
Atlanta,Goodr,Atlanta,technology,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Goodr%20Atlanta,,
Atlanta,Gymnetics Fitness,Atlanta,wellness-health,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Gymnetics%20Fitness%20Atlanta,,
Atlanta,H.J. Russell & Company,Atlanta,construction-trades,yes,yes,,,https://www.google.com/maps/search/?api=1&query=H.J.%20Russell%20%26%20Company%20Atlanta,,
Atlanta,Hammonds House Museum,Atlanta,arts-culture,yes,yes,,,https://www.google.com/maps/search/?api=1&query=Hammonds%20House%20Museum%20Atlanta,,
